#ies_format_version: 1.0
#file: 20260130_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20260130;	160817;	1769769497.000;	   +0.266
20260130;	160822;	1769769502.000;	    err20
20260130;	160827;	1769769507.000;	   +0.271
20260130;	160832;	1769769512.000;	   +0.282
20260130;	160837;	1769769517.000;	   +0.231
20260130;	160842;	1769769522.000;	   +0.197
20260130;	160847;	1769769527.000;	   +0.151
20260130;	160852;	1769769532.000;	   +0.000
20260130;	160857;	1769769537.000;	   +1.108
20260130;	160902;	1769769542.000;	   +0.157
20260130;	160907;	1769769547.000;	   +0.304
20260130;	160912;	1769769552.000;	   +0.000
20260130;	160917;	1769769557.000;	   +0.000
20260130;	160922;	1769769562.000;	   +0.233
20260130;	160927;	1769769567.000;	   +0.113
20260130;	160932;	1769769572.000;	   +0.207
20260130;	160937;	1769769577.000;	   +0.200
20260130;	160942;	1769769582.000;	   +0.174
20260130;	160947;	1769769587.000;	   +0.199
20260130;	160952;	1769769592.000;	    err32
20260130;	160957;	1769769597.000;	    err32
20260130;	161002;	1769769602.000;	    err32
20260130;	161007;	1769769607.000;	    err32
20260130;	161012;	1769769612.000;	    err32
20260130;	161017;	1769769617.000;	    err32
20260130;	161022;	1769769622.000;	    err32
20260130;	161027;	1769769627.000;	    err32
20260130;	161032;	1769769632.000;	    err32
20260130;	161037;	1769769637.000;	    err32
20260130;	161042;	1769769642.000;	    err32
20260130;	161047;	1769769647.000;	    err32
20260130;	161052;	1769769652.000;	    err32
20260130;	161057;	1769769657.000;	    err32
20260130;	161102;	1769769662.000;	    err32
20260130;	161107;	1769769667.000;	    err32
20260130;	161112;	1769769672.000;	    err32
20260130;	161117;	1769769677.000;	    err32
20260130;	161122;	1769769682.000;	    err32
20260130;	161127;	1769769687.000;	    err32
20260130;	161132;	1769769692.000;	    err32
20260130;	161137;	1769769697.000;	    err32
20260130;	161142;	1769769702.000;	    err32
20260130;	161147;	1769769707.000;	    err32
20260130;	161152;	1769769712.000;	    err32
20260130;	161157;	1769769717.000;	    err32
20260130;	161202;	1769769722.000;	    err32
20260130;	161207;	1769769727.000;	    err32
20260130;	161212;	1769769732.000;	    err32
20260130;	161217;	1769769737.000;	    err32
20260130;	161222;	1769769742.000;	    err32
20260130;	161227;	1769769747.000;	    err32
20260130;	161232;	1769769752.000;	    err32
20260130;	161237;	1769769757.000;	    err32
20260130;	161242;	1769769762.000;	    err32
20260130;	161247;	1769769767.000;	    err32
20260130;	161252;	1769769772.000;	    err32
20260130;	161257;	1769769777.000;	    err32
20260130;	161302;	1769769782.000;	    err32
20260130;	161307;	1769769787.000;	    err32
20260130;	161312;	1769769792.000;	    err32
20260130;	161317;	1769769797.000;	    err32
20260130;	161322;	1769769802.000;	    err32
20260130;	161327;	1769769807.000;	    err32
20260130;	161332;	1769769812.000;	    err32
20260130;	161337;	1769769817.000;	    err32
20260130;	161342;	1769769822.000;	    err32
20260130;	161347;	1769769827.000;	    err32
20260130;	161352;	1769769832.000;	    err32
20260130;	161357;	1769769837.000;	    err32
20260130;	161402;	1769769842.000;	    err32
20260130;	161407;	1769769847.000;	    err32
20260130;	161412;	1769769852.000;	    err32
20260130;	161417;	1769769857.000;	    err32
20260130;	161422;	1769769862.000;	    err32
20260130;	161427;	1769769867.000;	    err32
20260130;	161432;	1769769872.000;	    err32
20260130;	161437;	1769769877.000;	    err32
20260130;	161442;	1769769882.000;	    err32
20260130;	161447;	1769769887.000;	    err32
20260130;	161452;	1769769892.000;	    err32
20260130;	161457;	1769769897.000;	    err32
20260130;	161502;	1769769902.000;	    err32
20260130;	161507;	1769769907.000;	    err32
20260130;	161512;	1769769912.000;	    err32
20260130;	161517;	1769769917.000;	    err32
20260130;	161522;	1769769922.000;	    err32
20260130;	161527;	1769769927.000;	    err32
20260130;	161532;	1769769932.000;	    err32
20260130;	161537;	1769769937.000;	    err32
20260130;	161542;	1769769942.000;	    err32
20260130;	161547;	1769769947.000;	    err32
20260130;	161552;	1769769952.000;	    err32
20260130;	161557;	1769769957.000;	    err32
20260130;	161602;	1769769962.000;	    err32
20260130;	161607;	1769769967.000;	    err32
20260130;	161612;	1769769972.000;	    err32
20260130;	161617;	1769769977.000;	    err32
20260130;	161622;	1769769982.000;	    err32
20260130;	161627;	1769769987.000;	    err32
20260130;	161632;	1769769992.000;	    err32
20260130;	161637;	1769769997.000;	    err32
20260130;	161642;	1769770002.000;	    err32
20260130;	161647;	1769770007.000;	    err32
20260130;	161652;	1769770012.000;	    err32
20260130;	161657;	1769770017.000;	    err32
20260130;	161702;	1769770022.000;	    err32
20260130;	161707;	1769770027.000;	    err32
20260130;	161712;	1769770032.000;	    err32
20260130;	161717;	1769770037.000;	    err32
20260130;	161722;	1769770042.000;	    err32
20260130;	161727;	1769770047.000;	    err32
20260130;	161732;	1769770052.000;	    err32
20260130;	161737;	1769770057.000;	    err32
20260130;	161742;	1769770062.000;	    err32
20260130;	161747;	1769770067.000;	    err32
20260130;	161752;	1769770072.000;	    err32
20260130;	161757;	1769770077.000;	    err32
20260130;	161802;	1769770082.000;	    err32
20260130;	161807;	1769770087.000;	    err32
20260130;	161812;	1769770092.000;	    err32
20260130;	161817;	1769770097.000;	    err32
20260130;	161822;	1769770102.000;	    err32
20260130;	161827;	1769770107.000;	    err32
20260130;	161832;	1769770112.000;	    err32
20260130;	161837;	1769770117.000;	    err32
20260130;	161842;	1769770122.000;	    err32
20260130;	161847;	1769770127.000;	    err32
20260130;	161852;	1769770132.000;	    err32
20260130;	161857;	1769770137.000;	    err32
20260130;	161902;	1769770142.000;	    err32
20260130;	161907;	1769770147.000;	    err32
20260130;	161912;	1769770152.000;	    err32
20260130;	161917;	1769770157.000;	    err32
20260130;	161922;	1769770162.000;	    err32
20260130;	161927;	1769770167.000;	    err32
20260130;	161932;	1769770172.000;	    err32
20260130;	161937;	1769770177.000;	    err32
20260130;	161942;	1769770182.000;	    err32
20260130;	161947;	1769770187.000;	    err32
20260130;	161952;	1769770192.000;	    err32
20260130;	161957;	1769770197.000;	    err32
20260130;	162002;	1769770202.000;	    err32
20260130;	162007;	1769770207.000;	    err32
20260130;	162012;	1769770212.000;	    err32
20260130;	162017;	1769770217.000;	    err32
20260130;	162022;	1769770222.000;	    err32
20260130;	162027;	1769770227.000;	    err32
20260130;	162032;	1769770232.000;	    err32
20260130;	162037;	1769770237.000;	    err32
20260130;	162042;	1769770242.000;	    err32
20260130;	162047;	1769770247.000;	    err32
20260130;	162052;	1769770252.000;	    err32
20260130;	162057;	1769770257.000;	    err32
20260130;	162102;	1769770262.000;	    err32
20260130;	162107;	1769770267.000;	    err32
20260130;	162112;	1769770272.000;	    err32
20260130;	162117;	1769770277.000;	    err32
20260130;	162122;	1769770282.000;	    err32
20260130;	162127;	1769770287.000;	    err32
20260130;	162132;	1769770292.000;	    err32
20260130;	162137;	1769770297.000;	    err32
20260130;	162142;	1769770302.000;	    err32
20260130;	162147;	1769770307.000;	    err32
20260130;	162152;	1769770312.000;	    err32
20260130;	162157;	1769770317.000;	    err32
20260130;	162202;	1769770322.000;	    err32
20260130;	162207;	1769770327.000;	    err32
20260130;	162212;	1769770332.000;	    err32
20260130;	162217;	1769770337.000;	    err32
20260130;	162222;	1769770342.000;	    err32
20260130;	162227;	1769770347.000;	    err32
20260130;	162232;	1769770352.000;	    err32
20260130;	162237;	1769770357.000;	    err32
20260130;	162242;	1769770362.000;	    err32
20260130;	162247;	1769770367.000;	    err32
20260130;	162252;	1769770372.000;	    err32
20260130;	162257;	1769770377.000;	    err32
20260130;	162302;	1769770382.000;	    err32
20260130;	162307;	1769770387.000;	    err32
20260130;	162312;	1769770392.000;	    err32
20260130;	162317;	1769770397.000;	    err32
20260130;	162322;	1769770402.000;	    err32
20260130;	162327;	1769770407.000;	    err32
20260130;	162332;	1769770412.000;	    err32
20260130;	162337;	1769770417.000;	    err32
20260130;	162342;	1769770422.000;	    err32
20260130;	162347;	1769770427.000;	    err32
20260130;	162352;	1769770432.000;	    err32
20260130;	162357;	1769770437.000;	    err32
20260130;	162402;	1769770442.000;	    err32
20260130;	162407;	1769770447.000;	    err32
20260130;	162412;	1769770452.000;	    err32
20260130;	162417;	1769770457.000;	    err32
20260130;	162422;	1769770462.000;	    err32
20260130;	162427;	1769770467.000;	    err32
20260130;	162432;	1769770472.000;	    err32
20260130;	162437;	1769770477.000;	    err32
20260130;	162442;	1769770482.000;	    err32
20260130;	162447;	1769770487.000;	    err32
20260130;	162452;	1769770492.000;	    err32
20260130;	162457;	1769770497.000;	    err32
20260130;	162502;	1769770502.000;	    err32
20260130;	162507;	1769770507.000;	    err32
20260130;	162512;	1769770512.000;	    err32
20260130;	162517;	1769770517.000;	    err32
20260130;	162522;	1769770522.000;	    err32
20260130;	162527;	1769770527.000;	    err32
20260130;	162532;	1769770532.000;	    err32
20260130;	162537;	1769770537.000;	    err32
20260130;	162542;	1769770542.000;	    err32
20260130;	162547;	1769770547.000;	    err32
20260130;	162552;	1769770552.000;	    err32
20260130;	162557;	1769770557.000;	    err32
20260130;	162602;	1769770562.000;	    err32
20260130;	162607;	1769770567.000;	    err32
20260130;	162612;	1769770572.000;	    err32
20260130;	162617;	1769770577.000;	    err32
20260130;	162622;	1769770582.000;	    err32
20260130;	162627;	1769770587.000;	    err32
20260130;	162632;	1769770592.000;	    err32
20260130;	162637;	1769770597.000;	    err32
20260130;	162642;	1769770602.000;	    err32
20260130;	162647;	1769770607.000;	    err32
20260130;	162652;	1769770612.000;	    err32
20260130;	162657;	1769770617.000;	    err32
20260130;	162702;	1769770622.000;	    err32
20260130;	162707;	1769770627.000;	    err32
20260130;	162712;	1769770632.000;	    err32
20260130;	162717;	1769770637.000;	    err32
20260130;	162722;	1769770642.000;	    err32
20260130;	162727;	1769770647.000;	    err32
20260130;	162732;	1769770652.000;	    err32
20260130;	162737;	1769770657.000;	    err32
20260130;	162742;	1769770662.000;	    err32
20260130;	162747;	1769770667.000;	    err32
20260130;	162752;	1769770672.000;	    err32
20260130;	162757;	1769770677.000;	    err32
20260130;	162802;	1769770682.000;	    err32
20260130;	162807;	1769770687.000;	    err32
20260130;	162812;	1769770692.000;	    err32
20260130;	162817;	1769770697.000;	    err32
20260130;	162822;	1769770702.000;	    err32
20260130;	162827;	1769770707.000;	    err32
20260130;	162832;	1769770712.000;	    err32
20260130;	162837;	1769770717.000;	    err32
20260130;	162842;	1769770722.000;	    err32
20260130;	162847;	1769770727.000;	    err32
20260130;	162852;	1769770732.000;	    err32
20260130;	162857;	1769770737.000;	    err32
20260130;	162902;	1769770742.000;	    err32
20260130;	162907;	1769770747.000;	    err32
20260130;	162912;	1769770752.000;	    err32
20260130;	162917;	1769770757.000;	    err32
20260130;	162922;	1769770762.000;	    err32
20260130;	162927;	1769770767.000;	    err32
20260130;	162932;	1769770772.000;	    err32
20260130;	162937;	1769770777.000;	    err32
20260130;	162942;	1769770782.000;	    err32
20260130;	162947;	1769770787.000;	    err32
20260130;	162952;	1769770792.000;	    err32
20260130;	162957;	1769770797.000;	    err32
