#ies_format_version: 1.0
#file: 20260205_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	iec61850_measurement1;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Mod.stVal
#005;	iec61850_measurement2;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Mod.ctlModel
#006;	iec61850_measurement3;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Beh.stVal
#007;	iec61850_measurement4;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Health.stVal
#008;	iec61850_measurement5;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Loc.stVal
#009;	modbus_register1;	FALSE;	TRUE;	0;	other;	SHORT,7. -
#010;	modbus_register2;	FALSE;	TRUE;	0;	other;	SHORT,7. -
YYYYMMDD;	hhmmss;	unixtimestamp;	iec61850_measurement1;	iec61850_measurement2;	iec61850_measurement3;	iec61850_measurement4;	iec61850_measurement5;	modbus_register1;	modbus_register2
20260205;	173600;	1770293160.000;	     err9;	     err9;	     err9;	     err9;	     err9;	   err7;	   err7
20260205;	173604;	1770293164.000;	     err9;	     err9;	     err9;	     err9;	     err9;	   err7;	   err7
20260205;	173608;	1770293168.000;	     err9;	     err9;	     err9;	     err9;	     err9;	   err7;	   err7
20260205;	173612;	1770293172.000;	     err9;	     err9;	     err9;	     err9;	     err9;	   err7;	   err7
20260205;	173616;	1770293176.000;	     err9;	     err9;	     err9;	     err9;	     err9;	   err7;	   err7
20260205;	173620;	1770293180.000;	     err9;	     err9;	     err9;	     err9;	     err9;	   err7;	   err7
20260205;	173624;	1770293184.000;	     err9;	     err9;	     err9;	     err9;	     err9;	   err7;	   err7
20260205;	173628;	1770293188.000;	     err9;	     err9;	     err9;	     err9;	     err9;	   err7;	   err7
20260205;	173632;	1770293192.000;	     err9;	     err9;	     err9;	     err9;	     err9;	   err7;	   err7
20260205;	173636;	1770293196.000;	     err9;	     err9;	     err9;	     err9;	     err9;	   err7;	   err7
20260205;	173640;	1770293200.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173644;	1770293204.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173648;	1770293208.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173652;	1770293212.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173656;	1770293216.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173700;	1770293220.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173704;	1770293224.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173708;	1770293228.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173712;	1770293232.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173716;	1770293236.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173720;	1770293240.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173724;	1770293244.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173728;	1770293248.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173732;	1770293252.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173736;	1770293256.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173740;	1770293260.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173744;	1770293264.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173748;	1770293268.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173752;	1770293272.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173756;	1770293276.000;	     err9;	     err9;	     err9;	     err9;	     err9;	      5;	      0
20260205;	173800;	1770293280.000;	     err8;	     err8;	     err8;	     err8;	     err8;	      5;	      0
20260205;	173804;	1770293284.000;	     err8;	     err8;	     err8;	     err8;	     err8;	      5;	      0
20260205;	173808;	1770293288.000;	     err8;	     err8;	     err8;	     err8;	     err8;	      5;	      0
20260205;	173812;	1770293292.000;	     err8;	     err8;	     err8;	     err8;	     err8;	      5;	      0
20260205;	173816;	1770293296.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173820;	1770293300.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173824;	1770293304.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173828;	1770293308.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173832;	1770293312.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173836;	1770293316.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173840;	1770293320.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173844;	1770293324.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173848;	1770293328.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173852;	1770293332.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173856;	1770293336.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173900;	1770293340.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173904;	1770293344.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173908;	1770293348.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173912;	1770293352.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173916;	1770293356.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173920;	1770293360.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173924;	1770293364.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173928;	1770293368.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173932;	1770293372.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173936;	1770293376.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173940;	1770293380.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173944;	1770293384.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173948;	1770293388.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173952;	1770293392.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	173956;	1770293396.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174000;	1770293400.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174004;	1770293404.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174008;	1770293408.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174012;	1770293412.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174016;	1770293416.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174020;	1770293420.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174024;	1770293424.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174028;	1770293428.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174032;	1770293432.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174036;	1770293436.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174040;	1770293440.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174044;	1770293444.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174048;	1770293448.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174052;	1770293452.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174056;	1770293456.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174100;	1770293460.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174104;	1770293464.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174108;	1770293468.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174112;	1770293472.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174116;	1770293476.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174120;	1770293480.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174124;	1770293484.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174128;	1770293488.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174132;	1770293492.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174136;	1770293496.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174140;	1770293500.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174144;	1770293504.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174148;	1770293508.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174152;	1770293512.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174156;	1770293516.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174200;	1770293520.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174204;	1770293524.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174208;	1770293528.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174212;	1770293532.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174216;	1770293536.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174220;	1770293540.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174224;	1770293544.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174228;	1770293548.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174232;	1770293552.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174236;	1770293556.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174240;	1770293560.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174244;	1770293564.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174248;	1770293568.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174252;	1770293572.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174256;	1770293576.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174300;	1770293580.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174304;	1770293584.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174308;	1770293588.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174312;	1770293592.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174316;	1770293596.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174320;	1770293600.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174324;	1770293604.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174328;	1770293608.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174332;	1770293612.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174336;	1770293616.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
20260205;	174340;	1770293620.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      5;	      0
